Cluster,DateTime,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,Cluster_Center_Lat,Cluster_Center_Lon
0,2024-12-05 00:00:00,2,240.33,0.0,9.34,72.96,4.41,2.51,2.94,0.24,51.5090415,-0.0054875
0,2024-12-05 01:00:00,2,236.99,0.0,7.2,72.96,3.52,2.34,2.68,0.19,51.5090415,-0.0054875
0,2024-12-05 02:00:00,2,233.65,0.0,6.43,72.24,3.22,1.91,2.19,0.14,51.5090415,-0.0054875
0,2024-12-05 03:00:00,2,233.65,0.0,6.17,71.53,3.13,1.64,1.86,0.11,51.5090415,-0.0054875
0,2024-12-05 04:00:00,2,233.65,0.0,6.08,70.81,3.25,1.4,1.56,0.09,51.5090415,-0.0054875
0,2024-12-05 05:00:00,2,230.31,0.0,6.51,69.38,3.67,0.97,1.09,0.08,51.5090415,-0.0054875
0,2024-12-05 06:00:00,2,230.31,0.0,8.31,68.66,4.47,0.76,0.88,0.09,51.5090415,-0.0054875
0,2024-12-05 07:00:00,2,236.99,0.0,14.57,64.37,6.62,1.24,1.44,0.16,51.5090415,-0.0054875
0,2024-12-05 08:00:00,1,247.0,0.0,22.28,56.51,8.82,1.99,2.27,0.27,51.5090415,-0.0054875
0,2024-12-05 09:00:00,1,257.02,0.01,27.08,49.35,10.25,2.51,2.84,0.33,51.5090415,-0.0054875
0,2024-12-05 10:00:00,1,257.02,0.04,27.76,41.48,10.73,2.62,2.99,0.37,51.5090415,-0.0054875
0,2024-12-05 11:00:00,1,250.34,0.05,24.33,40.77,10.25,2.56,2.94,0.35,51.5090415,-0.0054875
0,2024-12-05 12:00:00,1,240.33,0.05,20.05,45.06,8.94,2.61,3.0,0.31,51.5090415,-0.0054875
0,2024-12-05 13:00:00,1,230.31,0.04,15.42,53.64,6.91,1.95,2.24,0.25,51.5090415,-0.0054875
0,2024-12-05 14:00:00,1,230.31,0.02,14.57,57.22,6.56,1.53,1.78,0.24,51.5090415,-0.0054875
0,2024-12-05 15:00:00,1,233.65,0.01,14.57,56.51,6.62,1.59,1.95,0.25,51.5090415,-0.0054875
0,2024-12-05 16:00:00,1,233.65,0.0,14.91,56.51,6.5,1.59,2.03,0.24,51.5090415,-0.0054875
0,2024-12-05 17:00:00,2,236.99,0.0,16.11,60.08,6.14,1.51,1.81,0.21,51.5090415,-0.0054875
0,2024-12-05 18:00:00,2,236.99,0.0,16.79,64.37,5.9,1.34,1.5,0.21,51.5090415,-0.0054875
0,2024-12-05 19:00:00,2,233.65,0.0,16.62,63.66,5.9,1.53,1.68,0.21,51.5090415,-0.0054875
0,2024-12-05 20:00:00,2,233.65,0.0,15.08,62.23,5.6,1.53,1.67,0.23,51.5090415,-0.0054875
0,2024-12-05 21:00:00,2,230.31,0.0,12.17,65.09,4.47,1.46,1.6,0.24,51.5090415,-0.0054875
0,2024-12-05 22:00:00,2,230.31,0.0,9.42,66.52,3.67,1.2,1.38,0.3,51.5090415,-0.0054875
0,2024-12-05 23:00:00,2,230.31,0.0,7.2,70.81,3.16,0.83,1.07,0.36,51.5090415,-0.0054875
0,2024-12-06 00:00:00,2,226.97,0.0,4.97,77.25,2.38,0.61,0.92,0.38,51.5090415,-0.0054875
0,2024-12-06 01:00:00,2,226.97,0.0,4.07,80.82,2.24,0.54,0.92,0.42,51.5090415,-0.0054875
0,2024-12-06 02:00:00,2,226.97,0.0,3.77,80.11,2.26,0.5,0.97,0.46,51.5090415,-0.0054875
0,2024-12-06 03:00:00,2,226.97,0.0,3.77,78.68,2.35,0.5,1.14,0.5,51.5090415,-0.0054875
0,2024-12-06 04:00:00,2,226.97,0.0,3.86,76.53,2.53,0.56,1.51,0.55,51.5090415,-0.0054875
0,2024-12-06 05:00:00,2,226.97,0.0,4.28,75.82,2.95,0.69,2.09,0.61,51.5090415,-0.0054875
0,2024-12-06 06:00:00,2,230.31,0.0,5.31,75.82,3.52,0.85,2.78,0.7,51.5090415,-0.0054875
0,2024-12-06 07:00:00,2,233.65,0.0,9.42,72.96,4.83,1.18,3.55,0.87,51.5090415,-0.0054875
0,2024-12-06 08:00:00,2,240.33,0.0,14.57,67.95,6.02,1.53,4.19,1.03,51.5090415,-0.0054875
0,2024-12-06 09:00:00,2,247.0,0.12,17.48,64.37,6.85,1.75,4.58,1.08,51.5090415,-0.0054875
0,2024-12-06 10:00:00,2,247.0,0.98,17.99,62.23,7.87,1.91,4.83,1.03,51.5090415,-0.0054875
0,2024-12-06 11:00:00,2,250.34,1.77,18.16,60.8,8.82,2.01,4.92,0.91,51.5090415,-0.0054875
0,2024-12-06 12:00:00,1,250.34,2.21,18.85,58.65,9.78,2.08,4.88,0.79,51.5090415,-0.0054875
0,2024-12-06 13:00:00,1,253.68,1.31,24.68,51.5,11.68,2.38,5.13,0.75,51.5090415,-0.0054875
0,2024-12-06 14:00:00,1,267.03,1.4,33.93,41.48,15.14,3.03,5.81,0.79,51.5090415,-0.0054875
0,2024-12-06 15:00:00,2,283.72,0.92,43.53,31.11,18.36,3.72,6.53,0.81,51.5090415,-0.0054875
0,2024-12-06 16:00:00,2,290.39,0.28,48.67,25.03,19.31,4.06,6.91,0.81,51.5090415,-0.0054875
0,2024-12-06 17:00:00,2,283.72,0.15,43.53,27.89,16.45,3.57,6.28,0.8,51.5090415,-0.0054875
0,2024-12-06 18:00:00,1,267.03,0.06,36.67,36.12,13.83,3.08,5.59,0.74,51.5090415,-0.0054875
0,2024-12-06 19:00:00,1,253.68,0.01,29.47,47.21,11.21,2.58,4.48,0.57,51.5090415,-0.0054875
0,2024-12-06 20:00:00,1,247.0,0.0,21.59,55.79,8.7,1.99,2.93,0.39,51.5090415,-0.0054875
0,2024-12-06 21:00:00,2,243.66,0.0,15.25,60.8,6.32,1.64,2.17,0.3,51.5090415,-0.0054875
0,2024-12-06 22:00:00,2,240.33,0.0,11.48,62.23,4.65,1.62,2.0,0.24,51.5090415,-0.0054875
0,2024-12-06 23:00:00,2,240.33,0.0,10.11,62.23,4.11,1.42,1.65,0.16,51.5090415,-0.0054875
0,2024-12-07 00:00:00,2,230.31,0.0,8.57,64.37,3.43,1.16,1.37,0.09,51.5090415,-0.0054875
0,2024-12-07 01:00:00,2,216.96,0.0,5.74,71.53,2.59,0.99,1.23,0.06,51.5090415,-0.0054875
0,2024-12-07 02:00:00,2,213.62,0.0,3.98,76.53,2.29,1.54,2.09,0.07,51.5090415,-0.0054875
0,2024-12-07 03:00:00,2,216.96,0.0,3.3,75.82,2.21,1.81,2.83,0.09,51.5090415,-0.0054875
0,2024-12-07 04:00:00,2,216.96,0.0,2.91,75.1,2.15,1.24,2.24,0.13,51.5090415,-0.0054875
0,2024-12-07 05:00:00,2,216.96,0.0,2.7,77.25,2.09,0.98,1.81,0.18,51.5090415,-0.0054875
0,2024-12-07 06:00:00,2,220.3,0.0,3.04,78.68,2.21,0.68,1.16,0.2,51.5090415,-0.0054875
0,2024-12-07 07:00:00,2,223.64,0.0,5.27,73.67,2.71,0.5,0.63,0.19,51.5090415,-0.0054875
0,2024-12-07 08:00:00,2,226.97,0.0,7.45,76.53,2.98,0.5,0.56,0.17,51.5090415,-0.0054875
0,2024-12-07 09:00:00,2,226.97,0.0,7.88,78.68,2.86,0.54,0.6,0.14,51.5090415,-0.0054875
0,2024-12-07 10:00:00,2,226.97,0.02,7.45,78.68,2.83,0.57,0.63,0.13,51.5090415,-0.0054875
0,2024-12-07 11:00:00,2,226.97,0.04,7.11,80.11,2.86,0.55,0.62,0.13,51.5090415,-0.0054875
0,2024-12-07 12:00:00,2,230.31,0.05,6.94,76.53,2.77,0.5,0.57,0.13,51.5090415,-0.0054875
0,2024-12-07 13:00:00,2,230.31,0.07,7.54,67.95,2.65,0.5,0.57,0.15,51.5090415,-0.0054875
0,2024-12-07 14:00:00,2,230.31,0.05,8.65,63.66,2.71,0.5,0.58,0.17,51.5090415,-0.0054875
0,2024-12-07 15:00:00,2,230.31,0.02,8.48,67.95,2.56,0.5,0.59,0.19,51.5090415,-0.0054875
0,2024-12-07 16:00:00,2,226.97,0.0,7.45,72.24,2.09,0.5,0.58,0.2,51.5090415,-0.0054875
0,2024-12-07 17:00:00,2,226.97,0.0,6.77,76.53,1.8,0.5,0.57,0.19,51.5090415,-0.0054875
0,2024-12-07 18:00:00,2,226.97,0.0,6.51,77.25,1.71,0.5,0.57,0.2,51.5090415,-0.0054875
0,2024-12-07 19:00:00,2,226.97,0.0,6.25,78.68,1.79,0.5,0.58,0.22,51.5090415,-0.0054875
0,2024-12-07 20:00:00,2,226.97,0.0,6.0,80.82,1.88,0.5,0.6,0.25,51.5090415,-0.0054875
0,2024-12-07 21:00:00,2,230.31,0.0,5.57,81.54,1.83,0.5,0.6,0.25,51.5090415,-0.0054875
0,2024-12-07 22:00:00,2,230.31,0.0,5.31,78.68,1.74,0.5,0.58,0.22,51.5090415,-0.0054875
0,2024-12-07 23:00:00,2,233.65,0.0,4.76,73.67,1.4,0.5,0.56,0.15,51.5090415,-0.0054875
0,2024-12-08 00:00:00,2,243.66,0.0,3.86,70.1,0.97,0.5,0.55,0.1,51.5090415,-0.0054875
0,2024-12-08 01:00:00,2,243.66,0.0,3.3,70.81,0.85,0.5,0.57,0.09,51.5090415,-0.0054875
0,2024-12-08 02:00:00,2,243.66,0.0,2.68,72.24,0.76,0.5,0.57,0.08,51.5090415,-0.0054875
0,2024-12-08 03:00:00,2,247.0,0.0,2.36,67.95,0.72,0.5,0.58,0.08,51.5090415,-0.0054875
0,2024-12-08 04:00:00,1,263.69,0.0,2.53,58.65,0.69,0.5,0.58,0.08,51.5090415,-0.0054875
0,2024-12-08 05:00:00,1,287.06,0.0,3.17,48.64,0.72,0.5,0.59,0.08,51.5090415,-0.0054875
0,2024-12-08 06:00:00,1,310.42,0.0,4.07,40.41,0.81,0.5,0.62,0.09,51.5090415,-0.0054875
0,2024-12-08 07:00:00,1,307.08,0.01,4.88,42.2,1.09,0.55,0.68,0.1,51.5090415,-0.0054875
0,2024-12-08 08:00:00,1,270.37,0.0,5.06,53.64,1.27,0.51,0.62,0.11,51.5090415,-0.0054875
0,2024-12-08 09:00:00,2,253.68,0.01,5.1,60.8,1.36,0.53,0.65,0.11,51.5090415,-0.0054875
0,2024-12-08 10:00:00,2,247.0,0.03,4.97,64.37,1.43,0.55,0.67,0.1,51.5090415,-0.0054875
0,2024-12-08 11:00:00,2,250.34,0.07,4.63,63.66,1.33,0.5,0.61,0.1,51.5090415,-0.0054875
0,2024-12-08 12:00:00,2,260.35,0.1,4.37,60.08,1.22,0.5,0.61,0.09,51.5090415,-0.0054875
0,2024-12-08 13:00:00,1,270.37,0.1,4.41,56.51,1.16,0.5,0.63,0.09,51.5090415,-0.0054875
0,2024-12-08 14:00:00,1,273.7,0.07,4.84,52.93,1.21,0.59,0.74,0.09,51.5090415,-0.0054875
0,2024-12-08 15:00:00,1,273.7,0.03,5.27,52.21,1.25,0.74,0.91,0.09,51.5090415,-0.0054875
0,2024-12-08 16:00:00,1,263.69,0.0,5.48,57.22,1.19,0.78,0.96,0.1,51.5090415,-0.0054875
0,2024-12-08 17:00:00,2,250.34,0.0,5.65,62.23,1.16,0.75,0.95,0.11,51.5090415,-0.0054875
0,2024-12-08 18:00:00,2,243.66,0.0,5.74,65.8,1.18,0.72,0.94,0.12,51.5090415,-0.0054875
0,2024-12-08 19:00:00,2,243.66,0.0,5.57,65.8,1.25,0.78,1.11,0.14,51.5090415,-0.0054875
0,2024-12-08 20:00:00,2,247.0,0.0,5.44,64.37,1.33,0.88,1.55,0.17,51.5090415,-0.0054875
0,2024-12-08 21:00:00,2,250.34,0.0,4.97,64.37,1.28,0.87,1.96,0.19,51.5090415,-0.0054875
0,2024-12-08 22:00:00,2,253.68,0.0,4.84,65.09,1.3,0.89,2.29,0.22,51.5090415,-0.0054875
0,2024-12-08 23:00:00,2,253.68,0.0,4.5,65.8,1.19,0.9,2.54,0.24,51.5090415,-0.0054875
0,2024-12-09 00:00:00,2,257.02,0.0,3.68,63.66,0.95,0.92,2.71,0.25,51.5090415,-0.0054875
0,2024-12-09 01:00:00,1,270.37,0.0,4.16,52.93,1.15,0.99,2.56,0.25,51.5090415,-0.0054875
0,2024-12-09 02:00:00,1,290.39,0.0,4.58,41.48,1.13,0.98,2.19,0.21,51.5090415,-0.0054875
0,2024-12-09 03:00:00,1,293.73,0.01,4.41,38.62,1.13,0.93,1.96,0.18,51.5090415,-0.0054875
0,2024-12-09 04:00:00,1,280.38,0.0,3.56,45.06,1.13,0.84,1.77,0.17,51.5090415,-0.0054875
0,2024-12-09 05:00:00,1,263.69,0.0,3.04,53.64,1.19,0.77,1.66,0.16,51.5090415,-0.0054875
0,2024-12-09 06:00:00,1,257.02,0.0,3.21,56.51,1.34,0.74,1.5,0.17,51.5090415,-0.0054875
0,2024-12-09 07:00:00,1,263.69,0.0,5.1,53.64,1.82,0.81,1.46,0.2,51.5090415,-0.0054875
0,2024-12-09 08:00:00,1,263.69,0.0,6.77,56.51,2.09,0.87,1.42,0.23,51.5090415,-0.0054875
0,2024-12-09 09:00:00,2,257.02,0.0,6.94,67.23,2.18,0.91,1.44,0.23,51.5090415,-0.0054875
0,2024-12-09 10:00:00,2,250.34,0.02,6.43,75.82,2.18,0.93,1.53,0.24,51.5090415,-0.0054875
0,2024-12-09 11:00:00,2,247.0,0.04,5.57,79.39,1.97,0.92,1.65,0.24,51.5090415,-0.0054875
0,2024-12-09 12:00:00,2,243.66,0.06,4.84,80.11,1.74,0.89,1.86,0.24,51.5090415,-0.0054875
0,2024-12-09 13:00:00,2,247.0,0.08,4.76,76.53,1.68,0.84,2.09,0.25,51.5090415,-0.0054875
0,2024-12-09 14:00:00,2,253.68,0.07,5.14,69.38,1.76,0.86,2.32,0.28,51.5090415,-0.0054875
0,2024-12-09 15:00:00,2,253.68,0.03,5.4,65.8,1.8,0.91,2.51,0.3,51.5090415,-0.0054875
0,2024-12-09 16:00:00,2,253.68,0.0,5.65,67.23,1.76,0.99,2.86,0.32,51.5090415,-0.0054875
0,2024-12-09 17:00:00,2,253.68,0.0,6.34,68.66,1.77,1.14,3.52,0.34,51.5090415,-0.0054875
0,2024-12-09 18:00:00,2,253.68,0.0,6.85,68.66,1.85,1.24,4.18,0.35,51.5090415,-0.0054875
0,2024-12-09 19:00:00,2,257.02,0.0,6.68,67.95,1.97,1.36,4.99,0.37,51.5090415,-0.0054875
0,2024-12-09 20:00:00,2,257.02,0.0,6.43,66.52,2.09,1.52,5.83,0.4,51.5090415,-0.0054875
0,2024-12-09 21:00:00,2,253.68,0.0,5.91,67.23,2.03,1.6,6.2,0.4,51.5090415,-0.0054875
0,2024-12-09 22:00:00,2,253.68,0.0,5.74,67.95,2.03,1.53,5.48,0.39,51.5090415,-0.0054875
0,2024-12-09 23:00:00,2,253.68,0.0,5.27,67.95,1.8,1.37,4.29,0.34,51.5090415,-0.0054875
0,2024-12-10 00:00:00,2,253.68,0.0,4.03,68.66,1.37,1.14,3.2,0.27,51.5090415,-0.0054875
0,2024-12-10 01:00:00,2,250.34,0.0,3.43,68.66,1.28,1.01,2.72,0.24,51.5090415,-0.0054875
0,2024-12-10 02:00:00,2,250.34,0.0,3.0,70.81,1.24,0.89,2.45,0.22,51.5090415,-0.0054875
0,2024-12-10 03:00:00,2,247.0,0.0,2.78,72.96,1.25,0.83,2.37,0.22,51.5090415,-0.0054875
0,2024-12-10 04:00:00,2,247.0,0.0,2.7,73.67,1.27,0.8,2.34,0.22,51.5090415,-0.0054875
0,2024-12-10 05:00:00,2,243.66,0.0,2.83,72.96,1.36,0.76,2.21,0.23,51.5090415,-0.0054875
0,2024-12-10 06:00:00,2,247.0,0.0,3.38,69.38,1.55,0.77,2.17,0.24,51.5090415,-0.0054875
0,2024-12-10 07:00:00,2,247.0,0.0,5.57,65.09,2.09,0.88,2.28,0.28,51.5090415,-0.0054875
0,2024-12-10 08:00:00,2,250.34,0.0,7.8,61.51,2.44,0.97,2.33,0.32,51.5090415,-0.0054875
0,2024-12-10 09:00:00,2,253.68,0.01,8.4,60.8,2.56,0.99,2.34,0.34,51.5090415,-0.0054875
0,2024-12-10 10:00:00,2,253.68,0.04,8.05,62.23,2.65,0.99,2.41,0.34,51.5090415,-0.0054875
0,2024-12-10 11:00:00,2,250.34,0.08,7.2,65.09,2.5,0.96,2.55,0.35,51.5090415,-0.0054875
0,2024-12-10 12:00:00,2,250.34,0.1,6.6,67.23,2.35,0.94,2.78,0.36,51.5090415,-0.0054875
0,2024-12-10 13:00:00,2,247.0,0.1,6.51,68.66,2.32,0.93,2.96,0.38,51.5090415,-0.0054875
0,2024-12-10 14:00:00,2,247.0,0.07,6.94,68.66,2.41,0.97,3.26,0.41,51.5090415,-0.0054875
0,2024-12-10 15:00:00,2,247.0,0.03,7.28,68.66,2.5,0.99,3.51,0.45,51.5090415,-0.0054875
0,2024-12-10 16:00:00,2,243.66,0.0,7.45,69.38,2.38,1.0,3.62,0.47,51.5090415,-0.0054875
0,2024-12-10 17:00:00,2,243.66,0.0,8.14,69.38,2.35,1.0,3.63,0.47,51.5090415,-0.0054875
0,2024-12-10 18:00:00,2,243.66,0.0,8.65,68.66,2.38,1.02,3.58,0.46,51.5090415,-0.0054875
0,2024-12-10 19:00:00,2,247.0,0.0,8.57,67.95,2.5,1.04,3.52,0.43,51.5090415,-0.0054875
0,2024-12-10 20:00:00,2,247.0,0.0,8.23,65.8,2.59,1.06,3.49,0.4,51.5090415,-0.0054875
0,2024-12-10 21:00:00,2,247.0,0.0,7.63,65.09,2.5,1.03,3.34,0.38,51.5090415,-0.0054875
0,2024-12-10 22:00:00,2,247.0,0.0,7.28,63.66,2.5,0.99,3.04,0.35,51.5090415,-0.0054875
0,2024-12-10 23:00:00,2,243.66,0.0,6.43,64.37,2.21,0.91,2.77,0.32,51.5090415,-0.0054875
0,2024-12-11 00:00:00,2,243.66,0.0,6.17,62.94,2.53,0.87,2.69,0.3,51.5090415,-0.0054875
0,2024-12-11 01:00:00,2,240.33,0.0,5.14,65.09,2.41,0.81,2.57,0.28,51.5090415,-0.0054875
0,2024-12-11 02:00:00,2,240.33,0.0,4.76,65.8,2.44,0.81,2.64,0.28,51.5090415,-0.0054875
0,2024-12-11 03:00:00,2,240.33,0.0,4.71,66.52,2.56,0.82,2.71,0.29,51.5090415,-0.0054875
0,2024-12-11 04:00:00,2,240.33,0.0,4.71,67.23,2.68,0.82,2.73,0.29,51.5090415,-0.0054875
0,2024-12-11 05:00:00,2,240.33,0.0,5.06,67.23,2.95,0.82,2.74,0.29,51.5090415,-0.0054875
0,2024-12-11 06:00:00,2,243.66,0.0,6.17,66.52,3.43,0.88,2.79,0.3,51.5090415,-0.0054875
0,2024-12-11 07:00:00,2,250.34,0.0,10.63,62.23,4.71,1.18,3.13,0.38,51.5090415,-0.0054875
0,2024-12-11 08:00:00,1,257.02,0.01,15.25,57.22,5.54,1.46,3.4,0.44,51.5090415,-0.0054875
0,2024-12-11 09:00:00,1,260.35,0.02,16.79,55.79,5.9,1.54,3.34,0.44,51.5090415,-0.0054875
0,2024-12-11 10:00:00,1,260.35,0.07,16.45,57.22,6.2,1.51,3.08,0.44,51.5090415,-0.0054875
0,2024-12-11 11:00:00,1,257.02,0.13,14.57,59.37,5.9,1.36,2.69,0.42,51.5090415,-0.0054875
0,2024-12-11 12:00:00,2,253.68,0.15,13.02,62.23,5.36,1.2,2.38,0.4,51.5090415,-0.0054875
0,2024-12-11 13:00:00,2,253.68,0.15,13.02,62.94,5.19,1.17,2.29,0.41,51.5090415,-0.0054875
0,2024-12-11 14:00:00,2,257.02,0.13,15.25,60.8,5.9,1.27,2.47,0.46,51.5090415,-0.0054875
0,2024-12-11 15:00:00,1,257.02,0.06,17.14,58.65,6.56,1.38,2.7,0.5,51.5090415,-0.0054875
0,2024-12-11 16:00:00,1,257.02,0.01,17.99,56.51,6.56,1.45,2.95,0.53,51.5090415,-0.0054875
0,2024-12-11 17:00:00,1,257.02,0.01,20.05,54.36,6.5,1.58,3.26,0.55,51.5090415,-0.0054875
0,2024-12-11 18:00:00,1,257.02,0.01,22.28,52.93,6.8,1.77,3.6,0.56,51.5090415,-0.0054875
0,2024-12-11 19:00:00,1,257.02,0.01,22.62,53.64,7.15,1.93,3.74,0.55,51.5090415,-0.0054875
0,2024-12-11 20:00:00,1,253.68,0.01,21.08,57.22,7.09,1.92,3.5,0.5,51.5090415,-0.0054875
0,2024-12-11 21:00:00,2,250.34,0.0,18.51,60.8,6.56,1.75,3.03,0.42,51.5090415,-0.0054875
0,2024-12-11 22:00:00,2,250.34,0.0,19.02,60.08,7.03,1.79,2.96,0.4,51.5090415,-0.0054875
0,2024-12-11 23:00:00,1,253.68,0.0,19.71,58.65,7.27,1.85,3.05,0.37,51.5090415,-0.0054875
0,2024-12-12 00:00:00,2,247.0,0.0,15.77,61.51,5.9,1.5,2.73,0.29,51.5090415,-0.0054875
0,2024-12-12 01:00:00,2,243.66,0.0,13.02,64.37,5.36,1.32,2.63,0.26,51.5090415,-0.0054875
0,2024-12-12 02:00:00,2,240.33,0.0,12.0,65.09,5.42,1.33,2.72,0.26,51.5090415,-0.0054875
0,2024-12-12 03:00:00,2,243.66,0.0,12.0,63.66,5.6,1.4,2.85,0.27,51.5090415,-0.0054875
0,2024-12-12 04:00:00,1,243.66,0.0,12.85,59.37,5.72,1.51,2.93,0.26,51.5090415,-0.0054875
0,2024-12-12 05:00:00,1,247.0,0.0,15.25,52.21,6.2,1.75,3.05,0.25,51.5090415,-0.0054875
0,2024-12-12 06:00:00,1,257.02,0.02,20.39,43.27,7.45,2.17,3.42,0.29,51.5090415,-0.0054875
0,2024-12-12 07:00:00,1,280.38,0.39,37.01,23.96,10.73,3.54,4.82,0.47,51.5090415,-0.0054875
0,2024-12-12 08:00:00,2,310.42,4.36,52.78,5.9,13.23,5.13,6.46,0.62,51.5090415,-0.0054875
0,2024-12-12 09:00:00,2,323.77,11.74,53.47,0.88,14.07,5.98,7.32,0.65,51.5090415,-0.0054875
0,2024-12-12 10:00:00,2,343.8,21.91,50.72,0.44,15.5,7.23,8.58,0.69,51.5090415,-0.0054875
0,2024-12-12 11:00:00,2,377.18,35.76,50.04,0.46,16.93,9.25,10.73,0.77,51.5090415,-0.0054875
0,2024-12-12 12:00:00,2,400.54,46.49,50.04,0.43,18.36,11.04,12.68,0.88,51.5090415,-0.0054875
0,2024-12-12 13:00:00,2,413.9,53.2,50.72,0.34,19.31,12.17,13.9,0.96,51.5090415,-0.0054875
0,2024-12-12 14:00:00,2,427.25,59.9,52.09,0.21,19.79,13.24,15.01,0.94,51.5090415,-0.0054875
0,2024-12-12 15:00:00,2,440.6,66.16,52.78,0.08,19.79,14.16,15.93,0.86,51.5090415,-0.0054875
0,2024-12-12 16:00:00,2,420.57,60.8,52.09,0.01,17.88,13.08,14.8,0.75,51.5090415,-0.0054875
0,2024-12-12 17:00:00,2,377.18,44.7,51.41,0.0,15.02,10.29,11.76,0.63,51.5090415,-0.0054875
0,2024-12-12 18:00:00,2,330.45,23.25,53.47,0.16,13.11,7.22,8.31,0.55,51.5090415,-0.0054875
0,2024-12-12 19:00:00,2,287.06,2.77,49.35,9.3,11.56,4.37,5.31,0.51,51.5090415,-0.0054875
0,2024-12-12 20:00:00,1,280.38,0.16,37.7,29.33,10.97,3.79,5.64,0.5,51.5090415,-0.0054875
0,2024-12-12 21:00:00,1,273.71,0.03,29.13,39.7,10.01,4.2,8.13,0.44,51.5090415,-0.0054875
0,2024-12-12 22:00:00,1,263.69,0.01,23.31,49.35,8.58,3.72,8.48,0.4,51.5090415,-0.0054875
0,2024-12-12 23:00:00,1,257.02,0.0,19.88,57.94,7.39,2.79,6.68,0.34,51.5090415,-0.0054875
1,2024-12-05 00:00:00,2,236.99,0.0,9.68,71.53,4.11,2.59,3.02,0.18,51.5264161,-0.1792668
